"id";"period";"subject";"municipality";"settlement";"oktmo";"water_body";"indicator";"hazard_class";"cnt_cases";"value_min";"value_max";"unit"
6917;2020-07-31;Тульская область;Город Алексин;г. Алексин;"70706000001";р. Мышега;Формальдегид;"2";1;5;5;ПДК
6918;2020-07-31;Хабаровский край;имени Полины Осипенко;с. им П.Осипенко;"08637406101";р. Амгунь;Цинк;"3";1;82;82;ПДК
6919;2020-07-31;Хабаровский край;имени Полины Осипенко;нп. Гидрологический Пост Тимченко;"08637000";р. Нимелен;Цинк;"3";1;72;72;ПДК
6920;2020-08-31;Забайкальский край;Сретенский район;г. Сретенск;"76640101001";р. Шилка;Марганец;"4";1;198;198;ПДК
6921;2020-08-31;Иркутская область;Иркутск;г. Иркутск;"25701000001";р. Иркут;Взвешенные вещества;"";1;58;58;ПДК
6922;2020-08-31;Курганская область;Шадринск;г. Шадринск;"37705000001";р. Исеть;Взвешенные вещества;"";1;67;67;ПДК
6923;2020-08-31;Курганская область;Шадринск;г. Шадринск;"37705000001";р. Исеть;Взвешенные вещества;"";1;52;52;ПДК
6924;2020-08-31;Магаданская область;Ягоднинский;п. Оротукан;"44722000071";р. Оротукан;Марганец;"4";1;79;79;ПДК
6925;2020-08-31;Мурманская область;Печенгский муниципальный район;пгт. Никель;"47515000051";р. Колос-Йоки;Ртуть;"1";1;5;5;ПДК
6926;2020-08-31;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Кумужья;Медь;"3";1;79;79;ПДК
6927;2020-08-31;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Кумужья;Медь;"3";1;103;103;ПДК
6928;2020-08-31;Мурманская область;Городской округ город Мурманск;г. Мурманск;"47701000001";р. Роста;БПК5;"";1;30;30;ПДК
6929;2020-08-31;Мурманская область;Городской округ город Мурманск;г. Мурманск;"47701000001";руч. Варничный;Запах;"";1;5.0;5.0;балл
6930;2020-08-31;Мурманская область;Городской округ город Мурманск;г. Мурманск;"47701000001";руч. Варничный;Аммоний-ион;"4";1;52;52;ПДК
6931;2020-08-31;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Бенз(а)пирен;"1";1;13;13;ПДК
6932;2020-08-31;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Бенз(а)пирен;"1";1;7;7;ПДК
6933;2020-08-31;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Бенз(а)пирен;"1";1;8;8;ПДК
