"id";"period";"subject";"municipality";"settlement";"oktmo";"water_body";"indicator";"hazard_class";"cnt_cases";"value_min";"value_max";"unit"
7002;2020-09-30;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Кумужья;Медь;"3";1;113;113;ПДК
7003;2020-09-30;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Нюдуай;Ртуть;"1";1;17;17;ПДК
7004;2020-09-30;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Нюдуай;Медь;"3";1;63;63;ПДК
7005;2020-09-30;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Травяная;Медь;"3";1;79;79;ПДК
7006;2020-09-30;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Бенз(а)пирен;"1";1;19;19;ПДК
7007;2020-09-30;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Бенз(а)пирен;"1";1;24;24;ПДК
7008;2020-09-30;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Бенз(а)пирен;"1";1;10;10;ПДК
7009;2020-09-30;Нижегородская область;Лысковский район;г. Лысково;"22640101001";р. Валава;Нефть и нефтепродукты;"3";1;80;80;ПДК
7010;2020-09-30;Нижегородская область;NaN;г. Павлово;NaN;р. Ока;Взвешенные вещества;"";1;51;51;ПДК
7011;2020-09-30;Нижегородская область;Богородский район;г. Богородск;"22507000001";р. Рязанка;Растворенный кислород;"";1;0.07;0.07;мг/л
7012;2020-09-30;Нижегородская область;Богородский район;г. Богородск;"22507000001";р. Рязанка;Аммоний-ион;"4";1;310;310;ПДК
7013;2020-09-30;Нижегородская область;Богородский район;г. Богородск;"22507000001";р. Рязанка;Фенол;"3";1;44;44;ПДК
7014;2020-09-30;Нижегородская область;Богородский район;г. Богородск;"22507000001";р. Рязанка;БПК5;"";1;47;47;ПДК
7015;2020-09-30;Оренбургская область;Медногорск;г. Медногорск;"53715000001";р. Блява;Цинк;"3";1;93;93;ПДК
7016;2020-09-30;Приморский край;Арсеньевский;г. Арсеньев;"05703000001";р. Дачная;БПК5;"";1;22;22;ПДК
7017;2020-09-30;Псковская область;Дедовичский район;рп. Дедовичи;"58610151051";р. Шелонь;Аммоний-ион;"4";1;56;56;ПДК
7018;2020-09-30;Сахалинская область;городской округ Охинский;г. Оха;"64736000001";р. Охинка;Нефть и нефтепродукты;"3";1;55;55;ПДК
7019;2020-09-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Айва;Железо общее;"4";1;82;82;ПДК
7020;2020-09-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Айва;Медь;"3";1;162;162;ПДК
7021;2020-09-30;Свердловская область;город Каменск-Уральский;г. Каменск-Уральский;"65740000001";р. Исеть;Взвешенные вещества;"";1;115;115;ПДК
7022;2020-09-30;Свердловская область;Берёзовский городской округ;г. Березовский;"65731000001";р. Пышма;Взвешенные вещества;"";1;99;99;ПДК
7023;2020-09-30;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Салда;Медь;"3";1;52;52;ПДК
7024;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.38;0.38;мг/л
7025;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.38;0.38;мг/л
7026;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.43;0.43;мг/л
7027;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.34;0.34;мг/л
7028;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.64;0.64;мг/л
7029;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.41;0.41;мг/л
7030;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.41;0.41;мг/л
7031;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.75;0.75;мг/л
7032;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.62;0.62;мг/л
7033;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.57;0.57;мг/л
7034;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.43;0.43;мг/л
7035;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.60;0.60;мг/л
7036;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.36;0.36;мг/л
7037;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.36;0.36;мг/л
7038;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.61;0.61;мг/л
